mes,nom_usina,cod_razaorestricao,curtailment_mwh,generation_mwh,pct_curtailment,last_instante
2025-01,ALEGRIA I,CNF,27.4395,391.337,0.070117316,1/31/2025 14:30
2025-01,ALEGRIA I,ENE,524.1145,1275.7615,0.410824829,1/26/2025 16:30
2025-01,ALEGRIA I,NAN,0,5927.8205,0,1/31/2025 23:30
2025-01,ALEGRIA I,REL,0,50.1525,0,1/11/2025 17:00
2025-01,ALEGRIA II,CNF,52.687,711.8445,0.07401476,1/31/2025 14:30
2025-01,ALEGRIA II,ENE,1182.1845,2380.3535,0.49664241,1/26/2025 16:30
2025-01,ALEGRIA II,NAN,0,10326.503,0,1/31/2025 23:30
2025-01,ALEGRIA II,REL,3.0965,108.743,0.028475396,1/11/2025 17:00
2025-01,CATAVENTOS ACARAÚ I,ENE,0,0,0,1/26/2025 15:00
2025-01,CATAVENTOS ACARAÚ I,NAN,0,0,0,1/31/2025 23:30
2025-01,CATAVENTOS ACARAÚ I,REL,0,0,0,1/31/2025 22:30
2025-01,CONJ. ACARAÚ II,ENE,236.605,1293.3925,0.182933642,1/26/2025 16:30
2025-01,CONJ. ACARAÚ II,NAN,0,4884.531,0,1/31/2025 23:30
2025-01,CONJ. ACARAÚ II,REL,85.6785,205.188,0.417560968,1/31/2025 22:30
2025-01,CONJ. ACAUÃ,ENE,632.4565,1946.248,0.324961927,1/26/2025 16:30
2025-01,CONJ. ACAUÃ,NAN,0,16391.6125,0,1/31/2025 23:30
2025-01,CONJ. AFONSO BEZERRA,CNF,221.311,1986.8515,0.111387791,1/31/2025 14:30
2025-01,CONJ. AFONSO BEZERRA,ENE,1437.6565,4930.053,0.29161076,1/26/2025 14:30
2025-01,CONJ. AFONSO BEZERRA,NAN,0,28303.855,0,1/31/2025 23:30
2025-01,CONJ. AFONSO BEZERRA,REL,48.575,310.7405,0.156320145,1/11/2025 17:00
2025-01,CONJ. ANEMUS,ENE,1066.4505,3967.217,0.268815772,1/26/2025 16:30
2025-01,CONJ. ANEMUS,NAN,0,32601.9005,0,1/31/2025 23:30
2025-01,CONJ. ARACATI II,CNF,24.375,25.7275,0.947429793,1/3/2025 8:30
2025-01,CONJ. ARACATI II,ENE,1076.811,3048.97,0.353172055,1/26/2025 16:30
2025-01,CONJ. ARACATI II,NAN,0,21192.8585,0,1/31/2025 23:30
2025-01,CONJ. ARACATI II,REL,844.331,874.147,0.96589132,1/24/2025 9:30
2025-01,CONJ. ARAÇÁS,ENE,820.2535,1795.903,0.456735971,1/26/2025 16:30
2025-01,CONJ. ARAÇÁS,NAN,0,13341.8615,0,1/31/2025 3:30
2025-01,CONJ. ARAÇÁS,REL,5269.566,5936.952,0.887587772,1/31/2025 23:30
2025-01,CONJ. AREIA BRANCA,CNF,8.456,12.544,0.674107143,1/3/2025 8:30
2025-01,CONJ. AREIA BRANCA,ENE,406.567,1123.335,0.361928543,1/26/2025 16:30
2025-01,CONJ. AREIA BRANCA,NAN,0,8509.3765,0,1/31/2025 23:30
2025-01,CONJ. AREIA BRANCA,REL,54.4375,118.4085,0.459743177,1/24/2025 9:30
2025-01,CONJ. ARIZONA,ENE,947.6825,3922.129,0.241624511,1/26/2025 16:30
2025-01,CONJ. ARIZONA,NAN,0,24019.2295,0,1/31/2025 23:30
2025-01,CONJ. ARIZONA,REL,1433.071,1674.3205,0.855911995,1/31/2025 17:00
2025-01,CONJ. ASA BRANCA,CNF,551.168,4360.9565,0.126386952,1/31/2025 20:00
2025-01,CONJ. ASA BRANCA,ENE,1574.6475,4033.602,0.390382467,1/26/2025 14:30
2025-01,CONJ. ASA BRANCA,NAN,0,13131.299,0,1/31/2025 23:30
2025-01,CONJ. ASA BRANCA,REL,357.7905,925.7525,0.386486129,1/31/2025 16:00
2025-01,CONJ. ATLÂNTICA,ENE,963.2865,2002.38,0.481070776,1/26/2025 14:00
2025-01,CONJ. ATLÂNTICA,NAN,0,29662.85,0,1/31/2025 23:30
2025-01,CONJ. AVENTURA,CNF,198.966,3375.825,0.058938482,1/31/2025 20:00
2025-01,CONJ. AVENTURA,ENE,892.1675,3168.373,0.281585375,1/26/2025 14:00
2025-01,CONJ. AVENTURA,NAN,0,15771.1355,0,1/31/2025 23:30
2025-01,CONJ. AVENTURA,REL,118.5785,802.16,0.147824,1/25/2025 18:00
2025-01,CONJ. BABILÔNIA,ENE,228.2225,2729.5055,0.083613131,1/26/2025 16:30
2025-01,CONJ. BABILÔNIA,NAN,0,15537.9715,0,1/31/2025 23:30
2025-01,CONJ. BABILÔNIA,REL,908.9945,2061.343,0.440971978,1/31/2025 21:30
2025-01,CONJ. BABILÔNIA CENTRO,CNF,0,0.022,0,1/30/2025 10:00
2025-01,CONJ. BABILÔNIA CENTRO,ENE,4144.615,5148.547,0.805006733,1/26/2025 16:30
2025-01,CONJ. BABILÔNIA CENTRO,NAN,0,14692.4035,0,1/31/2025 23:30
2025-01,CONJ. BABILÔNIA CENTRO,REL,120.6625,144.777,0.833436941,1/31/2025 17:30
2025-01,CONJ. BABILÔNIA SUL,CNF,399.559,1547.096,0.25826387,1/30/2025 10:00
2025-01,CONJ. BABILÔNIA SUL,ENE,1501.1165,8663.609,0.17326688,1/26/2025 16:30
2025-01,CONJ. BABILÔNIA SUL,NAN,0,67097.37,0,1/31/2025 23:30
2025-01,CONJ. BABILÔNIA SUL,REL,1055.4455,3517.8155,0.300028668,1/31/2025 17:30
2025-01,CONJ. BAIXA DO FEIJÃO,CNF,31.245,3853.127,0.008108998,1/31/2025 20:00
2025-01,CONJ. BAIXA DO FEIJÃO,ENE,333.8105,3227.962,0.103412153,1/26/2025 14:30
2025-01,CONJ. BAIXA DO FEIJÃO,NAN,0,13612.539,0,1/31/2025 23:30
2025-01,CONJ. BAIXA DO FEIJÃO,REL,182.0115,986.3975,0.184521453,1/31/2025 16:00
2025-01,CONJ. BLOCO SUL,CNF,827.978,5147.679,0.160844917,1/31/2025 20:00
2025-01,CONJ. BLOCO SUL,ENE,2896.6225,6101.0525,0.47477423,1/26/2025 14:30
2025-01,CONJ. BLOCO SUL,NAN,0,23954.9795,0,1/31/2025 23:30
2025-01,CONJ. BLOCO SUL,REL,552.7145,2049.8925,0.269630968,1/31/2025 16:00
2025-01,CONJ. BOM JARDIM,ENE,145.437,261.8435,0.55543483,1/26/2025 14:00
2025-01,CONJ. BOM JARDIM,NAN,0,9875.295,0,1/31/2025 23:30
2025-01,CONJ. BRISA POTIGUAR I,CNF,1144.945,5048.0985,0.226807183,1/31/2025 20:00
2025-01,CONJ. BRISA POTIGUAR I,ENE,2665.8225,5223.62,0.510340052,1/26/2025 16:30
2025-01,CONJ. BRISA POTIGUAR I,NAN,0,17214.6035,0,1/31/2025 23:30
2025-01,CONJ. BRISA POTIGUAR I,REL,435.16,1571.2805,0.276946096,1/31/2025 16:00
2025-01,CONJ. BROTAS DE MACAÚBAS,CNF,289.344,436.0525,0.663553127,1/30/2025 6:30
2025-01,CONJ. BROTAS DE MACAÚBAS,ENE,741.673,2521.565,0.294132017,1/26/2025 16:30
2025-01,CONJ. BROTAS DE MACAÚBAS,NAN,0,20287.228,0,1/31/2025 23:30
2025-01,CONJ. BROTAS DE MACAÚBAS,REL,4591.421,5066.008,0.906319335,1/31/2025 22:30
2025-01,CONJ. BW GUIRAPÁ I,ENE,610.485,659.4025,0.925815416,1/26/2025 16:30
2025-01,CONJ. BW GUIRAPÁ I,NAN,0,3549.084,0,1/31/2025 4:00
2025-01,CONJ. BW GUIRAPÁ I,REL,1384.7685,1454.072,0.95233833,1/31/2025 23:30
2025-01,CONJ. BW GUIRAPÁ II,ENE,119.7935,597.055,0.200640644,1/26/2025 16:30
2025-01,CONJ. BW GUIRAPÁ II,NAN,0,4279.8485,0,1/31/2025 4:00
2025-01,CONJ. BW GUIRAPÁ II,REL,1005.266,1231.305,0.816423226,1/31/2025 23:30
2025-01,CONJ. CABEÇO PRETO II,CNF,79.09,4064.101,0.019460638,1/31/2025 20:00
2025-01,CONJ. CABEÇO PRETO II,ENE,643.902,3670.995,0.175402582,1/26/2025 16:30
2025-01,CONJ. CABEÇO PRETO II,NAN,0,16775.7555,0,1/31/2025 23:30
2025-01,CONJ. CABEÇO PRETO II,REL,246.8265,1384.4915,0.178279534,1/31/2025 16:00
2025-01,CONJ. CACIMBAS,ENE,787.696,3224.6775,0.244271249,1/26/2025 14:00
2025-01,CONJ. CACIMBAS,NAN,0,19483.6525,0,1/31/2025 23:30
2025-01,CONJ. CACIMBAS,REL,2624.673,2982.6085,0.879992463,1/31/2025 22:30
2025-01,CONJ. CAETITÉ,ENE,446.129,1027.1735,0.43432682,1/26/2025 16:30
2025-01,CONJ. CAETITÉ,NAN,0,9547.208,0,1/31/2025 4:00
2025-01,CONJ. CAETITÉ,REL,2974.8365,3266.3135,0.910762699,1/31/2025 23:30
2025-01,CONJ. CAETITÉ 123,ENE,473.1635,1081.039,0.437693275,1/26/2025 16:30
2025-01,CONJ. CAETITÉ 123,NAN,0,8304.2245,0,1/31/2025 3:30
2025-01,CONJ. CAETITÉ 123,REL,2027.75,2302.207,0.880785264,1/31/2025 23:30
